valor hora
2.13 22:50:58
1.14 22:50:53
1.48 22:50:51
1.28 22:50:49
1.14 22:50:36
1.22 22:50:24
1.82 22:50:09
1.15 22:49:45
2.24 22:49:33
8.31 22:49:10
2.11 22:48:33
3.45 22:48:12
5.90 22:47:58
2.67 22:47:56
5.90 22:47:43
2.67 22:47:05
1.74 22:46:41
1.32 22:46:20
1.60 22:46:05
1.60 22:45:47
1.19 22:45:22
1.54 22:45:03
9.48 22:44:42
1.03 22:44:00
3.05 22:43:48
1.56 22:43:16
2.48 22:42:56
1.03 22:42:28
9.97 22:42:14
1.13 22:41:32
1.87 22:41:19
3.49 22:41:03
2.74 22:41:02
3.49 22:40:56
2.74 22:40:22
1.76 22:39:58
22.44 22:39:56
1.06 22:39:52
22.44 22:39:35
1.26 22:38:39
1.70 22:38:25
1.93 22:38:08
1.14 22:37:47
2.69 22:37:28
3.88 22:37:01
1.64 22:36:31
2.08 22:36:22
1.12 22:36:19
2.08 22:36:15
1.12 22:35:45
4.75 22:35:31
1.07 22:34:58
3.66 22:34:45
5.08 22:34:18
1.00 22:33:45
1.37 22:33:29
2.28 22:33:10
1.35 22:32:44
1.49 22:32:27
1.25 22:32:04
1.11 22:31:49
3.61 22:31:28
7.30 22:31:01
80.18 22:30:24
1.25 22:29:20
2.30 22:29:04
8.93 22:28:37
1.68 22:28:05
16.12 22:27:40
2.74 22:26:52
1108.45 22:26:24
15.01 22:24:50
1.26 22:24:04
2.02 22:23:50
2.97 22:23:30
1.11 22:23:08
1.06 22:22:46
3.42 22:22:36
1.74 22:22:04
1.00 22:21:45
2.10 22:21:31
4.00 22:21:09
1.32 22:20:44
1.69 22:20:26
1.53 22:20:25
1.74 22:20:23
3.30 22:20:09
1.74 22:20:01
2.71 22:19:56
1.74 22:19:42
2.71 22:19:40
1.88 22:19:39
2.71 22:19:31
1.88 22:19:28
2.71 22:19:09
1.88 22:19:03
1.12 22:19:01
1.88 22:18:45
1.12 22:18:32
6.47 22:18:13
2.00 22:17:39
5.67 22:17:19
1.72 22:16:48
1.28 22:16:27
1.88 22:16:13
2.49 22:15:48
1.31 22:15:24
1.23 22:15:12
1.63 22:15:00
1.23 22:14:31
1.51 22:14:21
2.77 22:13:55
1.57 22:13:26
1.37 22:13:08
1.49 22:12:51
1.14 22:12:37
1.19 22:12:18
1.24 22:11:58
1.20 22:11:43
2.79 22:11:34
1.26 22:11:32
2.79 22:11:22
1.26 22:10:51
3.19 22:10:35
1.00 22:10:32
1.51 22:10:30
1.00 22:10:04
2.63 22:09:53
3.36 22:09:31
7.70 22:09:05
1.04 22:08:29
1.83 22:08:22
1.77 22:08:20
1.83 22:08:15
2.08 22:08:11
1.77 22:07:59
2.08 22:07:37
2.94 22:07:30
1.05 22:07:28
2.94 22:07:16
2.67 22:06:50
1.92 22:06:28
1.26 22:06:25
5.25 22:06:23
1.07 22:06:10
5.25 22:06:04
5.75 22:06:01
5.25 22:05:57
5.75 22:05:44
1.61 22:05:41
1.53 22:05:39
5.75 22:05:22
16.13 22:04:51
1.98 22:04:23
1.26 22:04:20
1.98 22:04:04
1.26 22:03:43
9.31 22:03:27
1.14 22:02:50
1.90 22:02:38
3.74 22:02:19
4.24 22:01:49
1.29 22:01:23
1.12 22:01:07
6.24 22:00:55
2.85 22:00:40
1.47 22:00:38
2.85 22:00:19
1.47 22:00:00
4.43 21:59:42
1.17 21:59:09
1.00 21:58:57
2.93 21:58:52
14.44 21:58:38
6.19 21:58:35
14.44 21:58:23
6.19 21:57:36
3.74 21:57:30
1.57 21:57:26
1.57 21:57:22
6.23 21:57:19
3.74 21:57:07
6.23 21:56:43
1.17 21:56:05
1.26 21:55:50
1.04 21:55:39
1.10 21:55:27
3.93 21:55:14
2.42 21:54:48
17.61 21:54:43
1.05 21:54:38
1.43 21:54:34
17.61 21:54:27
1.43 21:53:45
1.16 21:53:41
1.16 21:53:37
1.17 21:53:29
6.40 21:53:26
1.41 21:53:09
6.40 21:52:56
1.73 21:52:20
1.57 21:52:17
2.47 21:52:13
1.45 21:52:10
1.27 21:52:06
2.47 21:51:46
2.00 21:51:42
11.13 21:51:38
1.63 21:51:26
11.13 21:51:07
81.50 21:50:48
1.20 21:50:34
81.50 21:50:27
1.20 21:49:42
2.14 21:49:38
16.33 21:49:34
1.20 21:49:25
16.33 21:49:04
2.14 21:48:19
5.26 21:48:17
1.12 21:48:13
5.26 21:47:59
1.12 21:47:29
2.26 21:47:14
8.67 21:46:55
2.61 21:46:16
1.39 21:45:58
3.07 21:45:46
22.06 21:45:31
1.02 21:45:29
22.06 21:45:11
9.29 21:44:23
2.67 21:43:45
1.01 21:43:15
62.50 21:43:03
6.92 21:42:08
10.46 21:41:50
1.65 21:41:46
2.30 21:41:41
10.46 21:41:33
2.30 21:41:09
1.44 21:41:04
2.30 21:40:51
1.44 21:40:36
1.08 21:40:20
2.73 21:40:08
1.00 21:39:42
1.60 21:39:33
1.57 21:39:32
1.41 21:39:13
4.49 21:39:07
1.09 21:38:31
3.04 21:38:13
1.49 21:37:49
1.37 21:37:38
4.65 21:37:24
1.57 21:36:51
1.52 21:36:35
1.11 21:36:20
2.37 21:36:11
2.06 21:35:47
1.00 21:35:39
2.18 21:35:37
1.00 21:35:27
2.18 21:35:16
2.13 21:35:02
1.90 21:34:35
1.53 21:34:32
1.15 21:34:27
1.70 21:34:14
1.15 21:34:03
3.06 21:33:46
1.59 21:33:18
1.95 21:33:02
1.52 21:32:44
6.47 21:32:27
1.92 21:31:53
1.25 21:31:48
1.46 21:31:43
1.97 21:31:41
1.46 21:31:16
4.60 21:31:05
2.20 21:30:57
51.10 21:30:42
1.07 21:30:38
51.10 21:30:33
1.07 21:29:32
2.38 21:29:19
1.10 21:28:59
1.79 21:28:55
1.75 21:28:50
1.53 21:28:46
1.20 21:28:41
2.75 21:28:36
1.20 21:28:33
2.75 21:28:30
1.20 21:28:06
2.72 21:27:53
1.02 21:27:32
4.65 21:27:18
5.69 21:26:48
6.74 21:26:19
1.53 21:25:51
1.13 21:25:46
